                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.52028,                0.34182,                0.87144,                0.82184,                0.65625,                0.68196,                0.47271,                 1.1711,                0.82231,                 1.2766,              0.0010316,              0.0010316,              0.0010316
                     79,                0.55757,                0.35242,                0.89957,                0.84699,                0.70798,                0.71139,                0.51143,                 1.1205,                0.69797,                 1.2461,              0.0010234,              0.0010234,              0.0010234
                     80,                0.51676,                0.32753,                0.87495,                0.86969,                 0.6775,                0.73396,                0.54856,                 1.0129,                0.72983,                 1.0984,              0.0010151,              0.0010151,              0.0010151
                     81,                0.53112,                0.34062,                0.86563,                0.84538,                0.68476,                0.69306,                0.53106,                 1.0247,                0.80903,                  1.123,              0.0010069,              0.0010069,              0.0010069
                     82,                0.52929,                0.33406,                0.87055,                0.83187,                0.67548,                0.70454,                0.53404,                 1.0784,                0.80884,                 1.2095,             0.00099862,             0.00099862,             0.00099862
                     83,                0.51219,                0.34044,                0.86555,                0.86086,                0.66587,                 0.7175,                0.54858,                  1.087,                0.79654,                  1.199,             0.00099036,             0.00099036,             0.00099036
                     84,                0.50606,                0.32671,                0.86813,                 0.8576,                0.66561,                0.71479,                0.53182,                 1.0636,                0.78742,                 1.1479,             0.00098211,             0.00098211,             0.00098211
                     85,                0.50677,                 0.3228,                0.88228,                0.70605,                0.71356,                0.68064,                0.51649,                 1.0839,                0.87942,                 1.1854,             0.00097386,             0.00097386,             0.00097386
                     86,                0.49935,                0.32587,                0.87001,                0.85826,                0.69471,                0.70276,                0.52914,                 1.0418,                0.79856,                 1.1572,             0.00096561,             0.00096561,             0.00096561
                     87,                0.49248,                0.32019,                0.85095,                0.84268,                 0.7008,                0.69915,                0.54629,                 1.0242,                0.90212,                 1.1389,             0.00095736,             0.00095736,             0.00095736
                     88,                0.48758,                0.32034,                0.86609,                0.83164,                0.71635,                0.70949,                0.54738,                0.97805,                0.71707,                 1.1215,             0.00094911,             0.00094911,             0.00094911
